model,roc_auc,f1,precision,recall,threshold,confusion_matrix
xgboost,0.7788579485454747,0.33138686131386863,0.2773930753564155,0.4114803625377644,0.6713,"[[51216, 5322], [2922, 2043]]"
random_forest,0.743409068830428,0.2962523093164423,0.22029241487587087,0.4521651560926485,0.14,"[[48592, 7946], [2720, 2245]]"
logistic_regression,0.7573421285658137,0.30520313613684963,0.23618312189740762,0.4312185297079557,0.6574,"[[49614, 6924], [2824, 2141]]"
